# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-04-11 14:46:06 EDT       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 12436000 FRANKLIN ROOSEVELT LAKE AT GRAND COULEE DAM, WA
# -----------------------------------------------------------------------------------
#
# Data provided for site 12436000
#            TS   parameter     statistic     Description
#        149680       62614     32400     Lake or reservoir water surface elevation above NGVD 1929, feet (Observation at midnight)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
# 
agency_cd	site_no	datetime	149680_62614_32400	149680_62614_32400_cd
USGS	12436000	1980-09-15	1289.56	A
USGS	12436000	1980-09-16	1289.59	A
USGS	12436000	1980-09-17	1289.42	A
USGS	12436000	1980-09-18	1289.08	A
USGS	12436000	1980-09-19	1288.30	A
USGS	12436000	1980-09-20	1288.40	A
USGS	12436000	1980-09-21	1288.76	A
USGS	12436000	1980-09-22	1288.37	A
USGS	12436000	1980-09-23	1288.26	A
USGS	12436000	1980-09-24	1287.65	A
USGS	12436000	1980-09-25	1287.10	A
USGS	12436000	1980-09-26	1286.50	A
USGS	12436000	1980-09-27	1286.45	A
USGS	12436000	1980-09-28	1286.60	A
USGS	12436000	1980-09-29	1285.96	A
USGS	12436000	1980-09-30	1285.90	A
USGS	12436000	1980-10-01	1285.75	A
USGS	12436000	1980-10-02	1285.79	A
USGS	12436000	1980-10-03	1285.92	A
USGS	12436000	1980-10-04	1286.61	A
USGS	12436000	1980-10-05	1287.29	A
USGS	12436000	1980-10-06	1287.27	A
USGS	12436000	1980-10-07	1287.29	A
USGS	12436000	1980-10-08	1287.00	A
USGS	12436000	1980-10-09	1287.13	A
USGS	12436000	1980-10-10	1286.97	A
USGS	12436000	1980-10-11	1287.00	A
USGS	12436000	1980-10-12	1287.50	A
USGS	12436000	1980-10-13	1287.19	A
USGS	12436000	1980-10-14	1287.00	A
USGS	12436000	1980-10-15	1286.65	A
USGS	12436000	1980-10-16	1286.40	A
USGS	12436000	1980-10-17	1286.00	A
USGS	12436000	1980-10-18	1286.16	A
USGS	12436000	1980-10-19	1286.52	A
USGS	12436000	1980-10-20	1286.78	A
USGS	12436000	1980-10-21	1286.87	A
USGS	12436000	1980-10-22	1286.74	A
USGS	12436000	1980-10-23	1286.83	A
USGS	12436000	1980-10-24	1286.68	A
USGS	12436000	1980-10-25	1287.10	A
USGS	12436000	1980-10-26	1287.48	A
USGS	12436000	1980-10-27	1287.38	A
USGS	12436000	1980-10-28	1287.33	A
USGS	12436000	1980-10-29	1287.12	A
USGS	12436000	1980-10-30	1286.93	A
USGS	12436000	1980-10-31	1286.94	A
USGS	12436000	1980-11-01	1287.40	A
USGS	12436000	1980-11-02	1288.17	A
USGS	12436000	1980-11-03	1288.33	A
USGS	12436000	1980-11-04	1288.66	A
USGS	12436000	1980-11-05	1288.53	A
USGS	12436000	1980-11-06	1288.40	A
USGS	12436000	1980-11-07	1288.20	A
USGS	12436000	1980-11-08	1288.50	A
USGS	12436000	1980-11-09	1289.00	A
USGS	12436000	1980-11-10	1288.75	A
USGS	12436000	1980-11-11	1288.53	A
USGS	12436000	1980-11-12	1288.40	A
USGS	12436000	1980-11-13	1288.10	A
USGS	12436000	1980-11-14	1287.18	A
USGS	12436000	1980-11-15	1287.04	A
USGS	12436000	1980-11-16	1287.06	A
USGS	12436000	1980-11-17	1286.50	A
USGS	12436000	1980-11-18	1286.27	A
USGS	12436000	1980-11-19	1286.00	A
USGS	12436000	1980-11-20	1285.63	A
USGS	12436000	1980-11-21	1285.30	A
USGS	12436000	1980-11-22	1285.17	A
USGS	12436000	1980-11-23	1284.88	A
USGS	12436000	1980-11-24	1284.44	A
USGS	12436000	1980-11-25	1284.12	A
USGS	12436000	1980-11-26	1283.97	A
USGS	12436000	1980-11-27	1284.68	A
USGS	12436000	1980-11-28	1285.43	A
USGS	12436000	1980-11-29	1285.38	A
USGS	12436000	1980-11-30	1285.78	A
USGS	12436000	1980-12-01	1285.79	A
USGS	12436000	1980-12-02	1285.82	A
USGS	12436000	1980-12-03	1286.06	A
USGS	12436000	1980-12-04	1285.88	A
USGS	12436000	1980-12-05	1286.02	A
USGS	12436000	1980-12-06	1286.36	A
USGS	12436000	1980-12-07	1286.43	A
USGS	12436000	1980-12-08	1286.18	A
USGS	12436000	1980-12-09	1286.02	A
USGS	12436000	1980-12-10	1285.99	A
USGS	12436000	1980-12-11	1285.90	A
USGS	12436000	1980-12-12	1285.86	A
USGS	12436000	1980-12-13	1286.03	A
USGS	12436000	1980-12-14	1286.55	A
USGS	12436000	1980-12-15	1286.77	A
USGS	12436000	1980-12-16	1286.88	A
USGS	12436000	1980-12-17	1286.73	A
USGS	12436000	1980-12-18	1286.63	A
USGS	12436000	1980-12-19	1286.46	A
USGS	12436000	1980-12-20	1286.97	A
USGS	12436000	1980-12-21	1287.88	A
USGS	12436000	1980-12-22	1288.52	A
USGS	12436000	1980-12-23	1288.33	A
USGS	12436000	1980-12-24	1288.61	A
USGS	12436000	1980-12-25	1289.30	A
USGS	12436000	1980-12-26	1289.78	A
USGS	12436000	1980-12-27	1289.90	A
USGS	12436000	1980-12-28	1289.80	A
USGS	12436000	1980-12-29	1289.72	A
USGS	12436000	1980-12-30	1289.92	A
USGS	12436000	1980-12-31	1289.80	A
USGS	12436000	1981-01-01	1289.88	A
USGS	12436000	1981-01-02	1289.70	A
USGS	12436000	1981-01-03	1289.22	A
USGS	12436000	1981-01-04	1289.05	A
USGS	12436000	1981-01-05	1288.93	A
USGS	12436000	1981-01-06	1289.27	A
USGS	12436000	1981-01-07	1289.90	A
USGS	12436000	1981-01-08	1288.99	A
USGS	12436000	1981-01-09	1289.13	A
USGS	12436000	1981-01-10	1289.18	A
USGS	12436000	1981-01-11	1289.08	A
USGS	12436000	1981-01-12	1288.68	A
USGS	12436000	1981-01-13	1288.47	A
USGS	12436000	1981-01-14	1288.37	A
USGS	12436000	1981-01-15	1288.13	A
USGS	12436000	1981-01-16	1287.72	A
USGS	12436000	1981-01-17	1287.20	A
USGS	12436000	1981-01-18	1287.05	A
USGS	12436000	1981-01-19	1286.42	A
USGS	12436000	1981-01-20	1286.05	A
USGS	12436000	1981-01-21	1285.60	A
USGS	12436000	1981-01-22	1285.45	A
USGS	12436000	1981-01-23	1284.98	A
USGS	12436000	1981-01-24	1284.75	A
USGS	12436000	1981-01-25	1285.10	A
USGS	12436000	1981-01-26	1284.86	A
USGS	12436000	1981-01-27	1284.70	A
USGS	12436000	1981-01-28	1284.45	A
USGS	12436000	1981-01-29	1284.22	A
USGS	12436000	1981-01-30	1284.13	A
USGS	12436000	1981-01-31	1284.27	A
USGS	12436000	1981-02-01	1284.42	A
USGS	12436000	1981-02-02	1284.12	A
USGS	12436000	1981-02-03	1284.14	A
USGS	12436000	1981-02-04	1284.04	A
USGS	12436000	1981-02-05	1283.99	A
USGS	12436000	1981-02-06	1283.97	A
USGS	12436000	1981-02-07	1283.71	A
USGS	12436000	1981-02-08	1283.41	A
USGS	12436000	1981-02-09	1283.05	A
USGS	12436000	1981-02-10	1282.81	A
USGS	12436000	1981-02-11	1282.72	A
USGS	12436000	1981-02-12	1282.58	A
USGS	12436000	1981-02-13	1282.80	A
USGS	12436000	1981-02-14	1283.66	A
USGS	12436000	1981-02-15	1284.43	A
USGS	12436000	1981-02-16	1285.30	A
USGS	12436000	1981-02-17	1286.24	A
USGS	12436000	1981-02-18	1287.02	A
USGS	12436000	1981-02-19	1287.41	A
USGS	12436000	1981-02-20	1287.46	A
USGS	12436000	1981-02-21	1287.59	A
USGS	12436000	1981-02-22	1287.72	A
USGS	12436000	1981-02-23	1287.19	A
USGS	12436000	1981-02-24	1286.23	A
USGS	12436000	1981-02-25	1285.41	A
USGS	12436000	1981-02-26	1285.08	A
USGS	12436000	1981-02-27	1285.10	A
USGS	12436000	1981-02-28	1285.35	A
USGS	12436000	1981-03-01	1285.70	A
USGS	12436000	1981-03-02	1285.59	A
USGS	12436000	1981-03-03	1285.44	A
USGS	12436000	1981-03-04	1285.24	A
USGS	12436000	1981-03-05	1285.02	A
USGS	12436000	1981-03-06	1284.92	A
USGS	12436000	1981-03-07	1284.59	A
USGS	12436000	1981-03-08	1284.81	A
USGS	12436000	1981-03-09	1284.49	A
USGS	12436000	1981-03-10	1284.34	A
USGS	12436000	1981-03-11	1284.17	A
USGS	12436000	1981-03-12	1283.86	A
USGS	12436000	1981-03-13	1283.52	A
USGS	12436000	1981-03-14	1283.74	A
USGS	12436000	1981-03-15	1283.79	A
USGS	12436000	1981-03-16	1283.11	A
USGS	12436000	1981-03-17	1282.34	A
USGS	12436000	1981-03-18	1281.93	A
USGS	12436000	1981-03-19	1281.29	A
USGS	12436000	1981-03-20	1280.74	A
USGS	12436000	1981-03-21	1280.34	A
USGS	12436000	1981-03-22	1280.73	A
USGS	12436000	1981-03-23	1279.05	A
USGS	12436000	1981-03-24	1279.20	A
USGS	12436000	1981-03-25	1279.01	A
USGS	12436000	1981-03-26	1278.66	A
USGS	12436000	1981-03-27	1278.34	A
USGS	12436000	1981-03-28	1278.49	A
USGS	12436000	1981-03-29	1278.78	A
USGS	12436000	1981-03-30	1278.15	A
USGS	12436000	1981-03-31	1277.75	A
USGS	12436000	1981-04-01	1277.02	A
USGS	12436000	1981-04-02	1275.92	A
USGS	12436000	1981-04-03	1275.44	A
USGS	12436000	1981-04-04	1275.30	A
USGS	12436000	1981-04-05	1275.00	A
USGS	12436000	1981-04-06	1274.20	A
USGS	12436000	1981-04-07	1273.27	A
USGS	12436000	1981-04-08	1272.08	A
USGS	12436000	1981-04-09	1270.85	A
USGS	12436000	1981-04-10	1269.39	A
USGS	12436000	1981-04-11	1268.12	A
USGS	12436000	1981-04-12	1267.19	A
USGS	12436000	1981-04-13	1265.87	A
USGS	12436000	1981-04-14	1264.80	A
USGS	12436000	1981-04-15	1263.26	A
USGS	12436000	1981-04-16	1261.99	A
USGS	12436000	1981-04-17	1260.81	A
USGS	12436000	1981-04-18	1259.64	A
USGS	12436000	1981-04-19	1259.23	A
USGS	12436000	1981-04-20	1258.50	A
USGS	12436000	1981-04-21	1257.88	A
USGS	12436000	1981-04-22	1257.59	A
USGS	12436000	1981-04-23	1257.84	A
USGS	12436000	1981-04-24	1258.40	A
USGS	12436000	1981-04-25	1259.89	A
USGS	12436000	1981-04-26	1261.58	A
USGS	12436000	1981-04-27	1262.65	A
USGS	12436000	1981-04-28	1263.29	A
USGS	12436000	1981-04-29	1263.50	A
USGS	12436000	1981-04-30	1263.55	A
USGS	12436000	1981-05-01	1263.69	A
USGS	12436000	1981-05-02	1264.40	A
USGS	12436000	1981-05-03	1265.10	A
USGS	12436000	1981-05-04	1265.07	A
USGS	12436000	1981-05-05	1264.61	A
USGS	12436000	1981-05-06	1263.69	A
USGS	12436000	1981-05-07	1262.68	A
USGS	12436000	1981-05-08	1261.88	A
USGS	12436000	1981-05-09	1261.57	A
USGS	12436000	1981-05-10	1261.55	A
USGS	12436000	1981-05-11	1261.05	A
USGS	12436000	1981-05-12	1260.40	A
USGS	12436000	1981-05-13	1259.89	A
USGS	12436000	1981-05-14	1259.19	A
USGS	12436000	1981-05-15	1258.59	A
USGS	12436000	1981-05-16	1258.52	A
USGS	12436000	1981-05-17	1259.15	A
USGS	12436000	1981-05-18	1259.55	A
USGS	12436000	1981-05-19	1259.95	A
USGS	12436000	1981-05-20	1260.43	A
USGS	12436000	1981-05-21	1261.43	A
USGS	12436000	1981-05-22	1262.86	A
USGS	12436000	1981-05-23	1265.55	A
USGS	12436000	1981-05-24	1269.10	A
USGS	12436000	1981-05-25	1272.67	A
USGS	12436000	1981-05-26	1276.46	A
USGS	12436000	1981-05-27	1279.96	A
USGS	12436000	1981-05-28	1281.87	A
USGS	12436000	1981-05-29	1283.25	A
USGS	12436000	1981-05-30	1284.44	A
USGS	12436000	1981-05-31	1285.82	A
USGS	12436000	1981-06-01	1287.00	A
USGS	12436000	1981-06-02	1287.43	A
USGS	12436000	1981-06-03	1287.82	A
USGS	12436000	1981-06-04	1287.90	A
USGS	12436000	1981-06-05	1287.44	A
USGS	12436000	1981-06-06	1287.29	A
USGS	12436000	1981-06-07	1287.33	A
USGS	12436000	1981-06-08	1287.37	A
USGS	12436000	1981-06-09	1287.67	A
USGS	12436000	1981-06-10	1287.92	A
USGS	12436000	1981-06-11	1287.14	A
USGS	12436000	1981-06-12	1288.37	A
USGS	12436000	1981-06-13	1288.20	A
USGS	12436000	1981-06-14	1288.10	A
USGS	12436000	1981-06-15	1287.67	A
USGS	12436000	1981-06-16	1287.58	A
USGS	12436000	1981-06-17	1287.86	A
USGS	12436000	1981-06-18	1287.99	A
USGS	12436000	1981-06-19	1288.00	A
USGS	12436000	1981-06-20	1288.10	A
USGS	12436000	1981-06-21	1288.19	A
USGS	12436000	1981-06-22	1288.25	A
USGS	12436000	1981-06-23	1288.32	A
USGS	12436000	1981-06-24	1288.52	A
USGS	12436000	1981-06-25	1288.51	A
USGS	12436000	1981-06-26	1288.34	A
USGS	12436000	1981-06-27	1288.43	A
USGS	12436000	1981-06-28	1288.47	A
USGS	12436000	1981-06-29	1288.67	A
USGS	12436000	1981-06-30	1289.14	A
USGS	12436000	1981-07-01	1289.78	A
USGS	12436000	1981-07-02	1289.68	A
USGS	12436000	1981-07-03	1289.82	A
USGS	12436000	1981-07-04	1289.85	A
USGS	12436000	1981-07-05	1289.97	A
USGS	12436000	1981-07-06	1290.07	A
USGS	12436000	1981-07-07	1289.87	A
USGS	12436000	1981-07-08	1289.92	A
USGS	12436000	1981-07-09	1289.85	A
USGS	12436000	1981-07-10	1289.84	A
USGS	12436000	1981-07-11	1289.94	A
USGS	12436000	1981-07-12	1289.77	A
USGS	12436000	1981-07-13	1289.52	A
USGS	12436000	1981-07-14	1289.68	A
USGS	12436000	1981-07-15	1289.95	A
USGS	12436000	1981-07-16	1289.94	A
USGS	12436000	1981-07-17	1289.94	A
USGS	12436000	1981-07-18	1289.93	A
USGS	12436000	1981-07-19	1289.91	A
USGS	12436000	1981-07-20	1289.88	A
USGS	12436000	1981-07-21	1289.94	A
USGS	12436000	1981-07-22	1289.91	A
USGS	12436000	1981-07-23	1289.90	A
USGS	12436000	1981-07-24	1289.98	A
USGS	12436000	1981-07-25	1289.92	A
USGS	12436000	1981-07-26	1289.89	A
USGS	12436000	1981-07-27	1289.91	A
USGS	12436000	1981-07-28	1289.97	A
USGS	12436000	1981-07-29	1289.87	A
USGS	12436000	1981-07-30	1289.87	A
USGS	12436000	1981-07-31	1289.82	A
USGS	12436000	1981-08-01	1289.98	A
USGS	12436000	1981-08-02	1290.05	A
USGS	12436000	1981-08-03	1289.93	A
USGS	12436000	1981-08-04	1289.89	A
USGS	12436000	1981-08-05	1289.94	A
USGS	12436000	1981-08-06	1288.89	A
USGS	12436000	1981-08-07	1289.83	A
USGS	12436000	1981-08-08	1289.90	A
USGS	12436000	1981-08-09	1289.95	A
USGS	12436000	1981-08-10	1289.89	A
USGS	12436000	1981-08-11	1289.90	A
USGS	12436000	1981-08-12	1290.07	A
USGS	12436000	1981-08-13	1289.04	A
USGS	12436000	1981-08-14	1289.87	A
USGS	12436000	1981-08-15	1289.93	A
USGS	12436000	1981-08-16	1289.89	A
USGS	12436000	1981-08-17	1289.77	A
USGS	12436000	1981-08-18	1289.86	A
USGS	12436000	1981-08-19	1289.80	A
USGS	12436000	1981-08-20	1289.64	A
USGS	12436000	1981-08-21	1289.46	A
USGS	12436000	1981-08-22	1289.51	A
USGS	12436000	1981-08-23	1289.78	A
USGS	12436000	1981-08-24	1289.77	A
USGS	12436000	1981-08-25	1289.75	A
USGS	12436000	1981-08-26	1289.54	A
USGS	12436000	1981-08-27	1289.69	A
USGS	12436000	1981-08-28	1289.74	A
USGS	12436000	1981-08-29	1289.81	A
USGS	12436000	1981-08-30	1289.70	A
USGS	12436000	1981-08-31	1289.14	A
USGS	12436000	1981-09-01	1288.39	A
USGS	12436000	1981-09-02	1287.86	A
USGS	12436000	1981-09-03	1287.52	A
USGS	12436000	1981-09-04	1287.36	A
USGS	12436000	1981-09-05	1287.81	A
USGS	12436000	1981-09-06	1288.35	A
USGS	12436000	1981-09-07	1288.52	A
USGS	12436000	1981-09-08	1288.39	A
USGS	12436000	1981-09-09	1288.19	A
USGS	12436000	1981-09-10	1288.19	A
USGS	12436000	1981-09-11	1288.09	A
USGS	12436000	1981-09-12	1288.49	A
USGS	12436000	1981-09-13	1288.65	A
USGS	12436000	1981-09-14	1288.66	A
USGS	12436000	1981-09-15	1288.25	A
USGS	12436000	1981-09-16	1288.06	A
USGS	12436000	1981-09-17	1287.78	A
USGS	12436000	1981-09-18	1287.43	A
USGS	12436000	1981-09-19	1287.66	A
USGS	12436000	1981-09-20	1287.73	A
USGS	12436000	1981-09-21	1287.54	A
USGS	12436000	1981-09-22	1287.39	A
USGS	12436000	1981-09-23	1287.23	A
USGS	12436000	1981-09-24	1287.24	A
USGS	12436000	1981-09-25	1287.28	A
USGS	12436000	1981-09-26	1287.28	A
USGS	12436000	1981-09-27	1287.81	A
USGS	12436000	1981-09-28	1287.93	A
USGS	12436000	1981-09-29	1287.93	A
USGS	12436000	1981-09-30	1288.06	A
USGS	12436000	1981-10-01	1288.25	A
USGS	12436000	1981-10-02	1288.92	A
USGS	12436000	1981-10-03	1289.69	A
USGS	12436000	1981-10-04	1289.84	A
USGS	12436000	1981-10-05	1289.47	A
USGS	12436000	1981-10-06	1288.95	A
USGS	12436000	1981-10-07	1288.67	A
USGS	12436000	1981-10-08	1288.22	A
USGS	12436000	1981-10-09	1287.57	A
USGS	12436000	1981-10-10	1287.19	A
USGS	12436000	1981-10-11	1287.20	A
USGS	12436000	1981-10-12	1287.06	A
USGS	12436000	1981-10-13	1286.51	A
USGS	12436000	1981-10-14	1286.12	A
USGS	12436000	1981-10-15	1285.92	A
USGS	12436000	1981-10-16	1285.74	A
USGS	12436000	1981-10-17	1286.18	A
USGS	12436000	1981-10-18	1287.08	A
USGS	12436000	1981-10-19	1287.52	A
USGS	12436000	1981-10-20	1287.71	A
USGS	12436000	1981-10-21	1287.51	A
USGS	12436000	1981-10-22	1287.32	A
USGS	12436000	1981-10-23	1287.10	A
USGS	12436000	1981-10-24	1287.11	A
USGS	12436000	1981-10-25	1287.71	A
USGS	12436000	1981-10-26	1287.70	A
USGS	12436000	1981-10-27	1287.70	A
USGS	12436000	1981-10-28	1287.37	A
USGS	12436000	1981-10-29	1287.04	A
USGS	12436000	1981-10-30	1286.84	A
USGS	12436000	1981-10-31	1286.83	A
USGS	12436000	1981-11-01	1287.26	A
USGS	12436000	1981-11-02	1287.22	A
USGS	12436000	1981-11-03	1287.38	A
USGS	12436000	1981-11-04	1287.24	A
USGS	12436000	1981-11-05	1286.77	A
USGS	12436000	1981-11-06	1286.72	A
USGS	12436000	1981-11-07	1286.68	A
USGS	12436000	1981-11-08	1286.56	A
USGS	12436000	1981-11-09	1286.43	A
USGS	12436000	1981-11-10	1286.50	A
USGS	12436000	1981-11-11	1286.70	A
USGS	12436000	1981-11-12	1286.87	A
USGS	12436000	1981-11-13	1287.28	A
USGS	12436000	1981-11-14	1287.74	A
USGS	12436000	1981-11-15	1288.19	A
